x	y	Cell_class	Neuron_cluster_ID	z	bregma
-3033x2825	-3033.401378	2825.155877	Endothelial 3		MPA	-0.04
-3027x2956	-3027.328655	2955.936449	Inhibitory	I-5	MPA	-0.04
-3021x2962	-3020.512953	2961.69671	Inhibitory	I-5	MPA	-0.04
-3017x2996	-3017.39749	2995.915801	Inhibitory	I-5	MPA	-0.04
-3005x2878	-3005.478613	2877.528929	Endothelial 1		MPA	-0.04
-3005x2898	-3005.369837	2898.384629	Endothelial 1		MPA	-0.04
-3002x2965	-3001.59398	2965.246678	Inhibitory	I-29	MPA	-0.04
-2997x3005	-2997.368589	3005.247841	Astrocyte		MPA	-0.04
-2967x2894	-2967.167501	2893.509822	Inhibitory	I-25	MPA	-0.04
-2963x2927	-2963.181131	2927.496482	Excitatory	E-20	MPA	-0.04
-2955x2874	-2954.604508	2873.521193	Excitatory	E-11	MPA	-0.04
-2953x2982	-2952.704249	2982.099518	Astrocyte		MPA	-0.04
-2949x2836	-2948.588648	2835.768383	OD Mature 2		MPA	-0.04
-2948x2959	-2948.194435	2958.610211	Inhibitory	I-1	MPA	-0.04
-2943x2897	-2942.627079	2897.049788	OD Immature 1		MPA	-0.04
-2941x3006	-2940.860859	3005.644272	Excitatory	E-20	MPA	-0.04
-2932x2961	-2931.942849	2961.365834	Microglia		MPA	-0.04
-2922x2956	-2921.95643	2956.178779	Pericytes		MPA	-0.04
-2915x2823	-2915.35803	2822.560962	Pericytes		MPA	-0.04
-2910x2980	-2910.433757	2980.22121	Astrocyte		MPA	-0.04
-2907x2825	-2907.439113	2825.46278	Endothelial 2		MPA	-0.04
-2903x2931	-2903.023982	2930.989681	Inhibitory	I-26	MPA	-0.04
-2898x2823	-2898.297725	2822.887076	Endothelial 2		MPA	-0.04
-2898x2876	-2897.57708	2875.669847	OD Mature 2		MPA	-0.04
-2898x2865	-2897.59408	2865.04798	Astrocyte		MPA	-0.04
-2883x2959	-2883.190059	2958.59815	Astrocyte		MPA	-0.04
-2874x2836	-2874.011299	2836.289009	Astrocyte		MPA	-0.04
-2870x2948	-2869.656103	2948.229483	OD Mature 2		MPA	-0.04
-2868x2875	-2868.024391	2874.880139	Astrocyte		MPA	-0.04
-2859x2960	-2858.828365	2960.356747	Endothelial 3		MPA	-0.04
-2856x2828	-2856.201415	2827.69063	Pericytes		MPA	-0.04
-3026x2870	-3025.728593	2869.580376	Inhibitory	I-26	MPA	-0.04
-3012x2884	-3011.709752	2883.921038	Inhibitory	I-1	MPA	-0.04
-2958x3006	-2957.612189	3005.603102	Inhibitory	I-5	MPA	-0.04
-2956x2952	-2955.783772	2951.577727	Inhibitory	I-26	MPA	-0.04
-2923x2947	-2923.05209	2946.776472	Pericytes		MPA	-0.04
-2923x2845	-2923.353082	2844.720966	Astrocyte		MPA	-0.04
-2896x2907	-2896.385814	2907.262859	Inhibitory	I-26	MPA	-0.04
-2866x2826	-2866.094653	2825.983557	Pericytes		MPA	-0.04
-2867x2900	-2867.467494	2900.166024	Astrocyte		MPA	-0.04
-2943x2904	-2942.638647	2904.359276	Astrocyte		MPA	-0.04
-2891x2844	-2891.24141	2843.552431	OD Mature 2		MPA	-0.04
-2954x2966	-2953.925858	2965.755479	Inhibitory	I-5	MPA	-0.04
-2877x2944	-2877.153651	2943.845568	Inhibitory	I-21	MPA	-0.04
-2858x2987	-2857.851113	2986.599484	Astrocyte		MPA	-0.04
-2982x2840	-2981.622557	2839.584483	OD Immature 1		MPA	-0.04
-2938x2941	-2937.548946	2940.608981	Inhibitory	I-26	MPA	-0.04
-2911x2949	-2911.07609	2949.348447	Pericytes		MPA	-0.04
-2853x2855	-2853.006718	2855.166397	OD Mature 1		MPA	-0.04
-3031x3179	-3030.855058	3179.208497	Excitatory	E-30	MPA	-0.04
-3024x3059	-3023.807366	3059.186242	Astrocyte		MPA	-0.04
-3020x3074	-3019.991104	3073.955921	Inhibitory	I-8	MPA	-0.04
-3017x3191	-3016.675176	3191.422789	Excitatory	E-3	MPA	-0.04
-3017x3021	-3016.56107	3020.754709	Endothelial 3		MPA	-0.04
-3010x3164	-3010.277574	3164.341178	OD Mature 2		MPA	-0.04
-3012x3082	-3011.896696	3082.458122	Inhibitory	I-8	MPA	-0.04
-3005x3135	-3004.611572	3135.387739	Inhibitory	I-1	MPA	-0.04
-2998x3140	-2998.349842	3139.677925	Inhibitory	I-1	MPA	-0.04
-2996x3187	-2996.077776	3187.120454	Inhibitory	I-1	MPA	-0.04
-2991x3049	-2990.611663	3049.466895	Inhibitory	I-5	MPA	-0.04
-2992x3197	-2992.005727	3197.472061	Endothelial 1		MPA	-0.04
-2991x3117	-2991.372021	3117.398303	Inhibitory	I-10	MPA	-0.04
-2976x3056	-2976.384428	3055.728948	Microglia		MPA	-0.04
-2972x3164	-2971.954101	3163.589689	OD Mature 2		MPA	-0.04
-2961x3123	-2960.675485	3122.951742	Excitatory	E-3	MPA	-0.04
-2961x3052	-2961.157655	3051.754983	Astrocyte		MPA	-0.04
-2958x3082	-2958.467377	3081.736708	Astrocyte		MPA	-0.04
-2946x3188	-2945.819221	3188.256626	OD Immature 1		MPA	-0.04
-2932x3086	-2932.27725	3086.345908	OD Immature 1		MPA	-0.04
-2936x3056	-2936.222958	3055.571338	Excitatory	E-6	MPA	-0.04
-2906x3088	-2905.789137	3087.970708	Inhibitory	I-1	MPA	-0.04
-2906x3192	-2905.870777	3191.61596	Inhibitory	I-8	MPA	-0.04
-2906x3035	-2906.320331	3035.074224	Inhibitory	I-5	MPA	-0.04
-2905x3206	-2904.677092	3206.256229	OD Mature 2		MPA	-0.04
-2906x3156	-2905.786205	3156.425549	Inhibitory	I-8	MPA	-0.04
-2888x3120	-2887.791265	3119.59291	OD Mature 4		MPA	-0.04
-2888x3153	-2888.195678	3153.066564	Endothelial 1		MPA	-0.04
-2878x3103	-2878.497048	3102.853956	Excitatory	E-3	MPA	-0.04
-2873x3130	-2872.775855	3130.483244	Inhibitory	I-8	MPA	-0.04
-2875x3092	-2874.554691	3092.346368	Endothelial 1		MPA	-0.04
-2860x3174	-2859.661031	3173.877562	Inhibitory	I-4	MPA	-0.04
-2859x3189	-2858.720066	3188.642125	Inhibitory	I-6	MPA	-0.04
-2852x3152	-2851.791437	3152.037516	OD Mature 2		MPA	-0.04
-2849x3079	-2849.074748	3079.129589	OD Mature 2		MPA	-0.04
-3004x3046	-3004.256079	3046.051385	Endothelial 1		MPA	-0.04
-2993x3104	-2992.590515	3104.072774	Inhibitory	I-5	MPA	-0.04
-2977x3181	-2977.201559	3180.866518	Excitatory	E-13	MPA	-0.04
-2952x3173	-2952.232961	3172.620386	Excitatory	E-13	MPA	-0.04
-2943x3034	-2942.952873	3034.110698	Inhibitory	I-5	MPA	-0.04
-2910x3177	-2910.166484	3177.077042	Inhibitory	I-1	MPA	-0.04
-2878x3187	-2878.201002	3187.125335	Astrocyte		MPA	-0.04
-3003x3078	-3003.065798	3078.016551	Inhibitory	I-5	MPA	-0.04
-2976x3032	-2976.399701	3031.887168	Inhibitory	I-5	MPA	-0.04
-2973x3124	-2973.040143	3123.550217	Microglia		MPA	-0.04
-2966x3142	-2965.7011	3141.598687	Excitatory	E-13	MPA	-0.04
-2955x3045	-2955.482948	3044.758687	Inhibitory	I-5	MPA	-0.04
-2889x3136	-2888.740698	3136.041864	OD Mature 1		MPA	-0.04
